CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
AUS,2015,13,b,24.5280269587933,495.471973041207,464,735,1093,2812,0.000283262337396993,0.00163396157173393,0.0120183009813876,0.0353775445987775,0.123912375183806,0.00613934678639609,1,0,0
AUS,2015,14,m,15.1742542092394,327.825745790761,299,411,418,1471,0.000341320709359273,0.00216801914221886,0.0157066079183498,0.0430256390928181,0.1295418039763,0.00646641600501623,1,0,0
AUS,2015,14,f,12.1663113006397,186.83368869936,195,337,647,1378,0.0002887546199267,0.00122897697008104,0.00996361345357837,0.0300264262193344,0.115659806295608,0.0059771115753517,1,0,0
AUS,2015,14,b,27.3405655098791,514.659434490121,494,748,1065,2849,0.000315742986791995,0.00169723775358174,0.01279534630346,0.0360032698773953,0.120738041693279,0.00622012766516446,1,0,0
AUS,2015,15,m,14.2546024389825,345.745397561018,284,423,453,1520,0.000320634605761741,0.00228652767475068,0.014918650999369,0.0442818621320245,0.140388605744651,0.00668181667411603,1,0,0
AUS,2015,15,f,12.1663113006397,171.83368869936,174,353,731,1442,0.0002887546199267,0.00113030817710507,0.00889060892780839,0.0314520132208459,0.130675917159334,0.0062547132740618,1,0,0
AUS,2015,15,b,26.4209137396222,517.579086260378,458,776,1184,2962,0.000305122372648351,0.00170686614641729,0.0118628919169731,0.0373509858621107,0.134228959028021,0.00646683683545705,1,0,0
AUS,2015,16,m,15.4808047993251,315.519195200675,286,380,453,1450,0.000348216077225117,0.00208663188817744,0.0150237119218998,0.039780396241535,0.140388605744651,0.00637410143254489,1,0,0
AUS,2015,16,f,11.4904051172708,212.509594882729,185,345,673,1427,0.000272712696597439,0.00139787101485954,0.00945265891749742,0.0307392197200902,0.12030765013438,0.00618965037592662,1,0,0
AUS,2015,16,b,26.9712099165959,528.028790083404,471,725,1126,2877,0.000311477477427552,0.00174132705523121,0.0121996115565378,0.0348962174613792,0.1276535539405,0.00628125914098917,1,0,0
